模式,题目,答案
homophone,"shì","是|事|市|室|试|视|世|式|势|示|士|氏|饰|释|誓"
homophone,"jī","机|鸡|基|击|饥|积|激|肌|讥|叽|畸|跻|箕|稽|缉"
homophone,"lì","力|历|丽|利|立|例|粒|厉|励|莉|隶|栗|砾|沥|笠"
homophone,"yì","意|义|易|艺|忆|异|役|议|译|益|亿|疫|毅|逸|翼"
homophone,"fù","复|负|富|父|附|妇|腹|副|赋|赴|付|覆|缚|傅|咐"
homophone,"zhì","治|智|志|制|质|致|置|至|秩|滞|稚|掷|帜|窒|炙"
homophone,"yuán","元|原|员|圆|园|缘|源|援|猿|垣|媛|沅|袁|辕"
homophone,"jiān","间|坚|尖|肩|艰|兼|煎|监|缄|歼|笺|溅|键|剑|渐"
homophone,"bì","必|毕|闭|避|壁|币|碧|弊|蔽|臂|毙|弼|毖|蓖|庇"
homophone,"xīn","心|新|欣|辛|薪|馨|芯|锌|忻|歆|衅|信|鑫"
polyphone,"zhòng (重)","重量|重要|沉重|重心|保重|稳重|严重"
polyphone,"chóng (重)","重复|重新|重叠|重逢|重写|双重|重唱"
polyphone,"xíng (行)","飞行|行动|不行|行李|流行|行为|航行"
polyphone,"háng (行)","银行|行业|同行|商行|内行|外行|行会"
polyphone,"zhǎng (长)","长大|校长|首长|班长|成长|家长|村长"
polyphone,"cháng (长)","长度|特长|长短|漫长|长途|长久|长城"
polyphone,"jiàng (降)","下降|降落|降温|降雨|升降|降级|空降"
polyphone,"xiáng (降)","投降|劝降|诱降|受降|诈降|降服|归降"
polyphone,"hǎo (好)","好人|好事|好处|好心|好看|好吃|友好"
polyphone,"hào (好)","好奇|好学|好客|好动|好胜|爱好|嗜好"
polyphone,"fā (发)","发现|发明|发生|发言|发展|发送|发挥"
polyphone,"fà (发)","头发|理发|白发|黑发|假发|秀发|毛发"
polyphone,"lè(乐)","快乐|乐观|欢乐|乐于|乐意|安乐"
polyphone,"yuè(乐)","音乐|乐器|声乐|奏乐"
polyphone,"zhuǎn(转)","转弯|转身|转移|转变|好转|逆转|转折|转型|周转"
polyphone,"zhuàn(转)","旋转|转动|转动|公转|自转|打转|转圈|转盘|转悠"
polyphone,"báo(薄)","薄饼|薄片|薄脆"
polyphone,"bó(薄)","薄弱|厚薄|刻薄|淡薄|薄礼|单薄|稀薄"
polyphone,"dǒu(斗)","斗胆|烟斗|漏斗|星斗|熨斗"
polyphone,"dòu(斗)","斗嘴|战斗|争斗|斗志|斗气"
polyphone,"héng(横)","横梁|纵横|横行|横跨"
polyphone,"hèng(横)","强横|蛮横|横财|横祸"
polyphone,"chā(差)","差别|差距|温差|误差|相差|差额"
polyphone,"chāi(差)","出差|差遣|差事|公差|差人"
initials,"B J","北京|背景|笔记|编辑|保健|报警|边界"
initials,"K X","开心|科学|考试|可笑|空闲|苦心|看戏"
initials,"S M","什么|生命|说明|睡眠|神秘|树木|沙漠"
initials,"G S","公司|故事|感受|告诉|高山|格式|果实"
initials,"X X","学习|学校|休息|小心|相信|星星|现象"
initials,"D N","电脑|大闹|当年|东南|动脑|都能|大年"
initials,"P Y","朋友|拼音|平原|配音|偏远|片语|飘扬"
initials,"C G","成功|唱歌|常规|草稿|采购|餐馆|参观"
initials,"M L","美丽|魅力|目录|马路|命令|明亮|面临"
initials,"H P","和平|害怕|画片|黄牌|好评|黑屏|花盆"
initials,"Y D","一定|阅读|运动|影帝|有点|一点|遇到|云朵|一段|移动|有的"
initials,"A M","阿曼|阿嬷|暧昧|挨骂|爱慕|爱美|爱猫"
initials,"H H","后悔|很好|呵呵|绘画|还好|花海|还会|欢呼|混合|缓缓|花卉|浩瀚"
initials,"Q N","去年|千年|全年|青年|前年|取暖|气馁|请您|怯懦|潜能|全能|岂能"
initials,"S Z","生字|三种|甚至|狮子|识字|数字|数值|设置|时钟|绳子|随着|实在|树枝"
initials,"P P","品牌|泡泡|平平|批评|偏僻|匹配|婆婆|评判|攀爬|瓢泼|批判|偏偏|琵琶"
initials,"F D","辅导|放大|负担|奋斗|饭店|反对|分队|福袋|放到|非得|法定|发达|发抖|粉底"
initials,"W B","微博|舞步|我不|无比|外表|尾巴|完毕|外部|文本|未必|务必|微薄|违背|文笔"
initials,"D T","地铁|蛋挞|地图|答题|动态|独特|当天|低头|冬天|地毯|电梯|稻田|点头|大腿"
initials,"H Y","华语|还有|含义|还要|汉语|花园|会有|回忆|欢迎|海洋|行业|很有|好友|怀疑|会议"
initials,"N L","努力|能力|哪里|农历|年龄|奶酪|拿了|能量|弄乱|尼龙|奴隶|耐力|鸟类|内敛"
initials,"BP","兵乓|奔跑|布匹|鞭炮|背叛|被迫|扁平|比拼|标配|帮派"
initials,"BM","避免|便秘|帮忙|表面|饱满|斑马|部门|爸妈|报名|背面|表妹|不满|编码"
initials,"BF","办法|北方|部分|不法|八方|步伐|爆发|播放|不负|冰封|不妨|并非|备份|白费|暴风|蝙蝠"
initials,"BD","百度|变调|别的|不对|变得|不断|本地|表达|不得|绑定|不懂|不多|报道|补丁|病毒|笨蛋"
initials,"BB","爸爸|版本|宝宝|表白|辨别|不变|宝贝|并不|薄饼|不必|辩驳|标本|把柄|拜拜|奔波|白板"
initials,"BT","不同|标题|白天|白糖|不停|悲痛|半天|笔筒|变态|补贴|不妥|摆脱|拜托|崩塌|摆摊"
